NUMBER	ENGLISH	PORTUGUESE	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS	EOL
141	FLOUR	FARINHA	FOOD_AND_DRINK	1594	FLOUR	
142	FLOWER	FLOR	AGRICULTURE_AND_VEGETATION	239	FLOWER	
143	FLY	VOAR	MOTION	1441	FLY (MOVE THROUGH AIR)	
144	FLY (insect)	MOSCA	ANIMALS	1504	FLY (INSECT)	421
145	FOOD	COMIDA	FOOD_AND_DRINK	256	FOOD	
146	FOOT	PÉ	BODY	1301	FOOT	
147	FORGET	ESQUECER	COGNITION	1523	FORGET	
148	FOUR	QUATRO	QUANTITY	1500	FOUR	
149	FROG / TOAD	SAPO	ANIMALS	503	FROG	1553
150	FRUIT	FRUTA	FOOD_AND_DRINK	1507	FRUIT	
151	FULL	CHEIO	QUANTITY	1429	FULL	
152	GATHER	(A)JUNTAR / RECOLHER	SPATIAL_RELATIONS	7	GATHER	
153	GENIPA	JENIPAPO / GENIPA	AGRICULTURE_AND_VEGETATION			23769802
154	GIRL	MENINA	KINSHIP	1646	GIRL	
155	GIVE	DAR	POSSESSION	1447	GIVE	
156	GNAT / PIUM	PERNILONGO / MURIÇOCA / MOSQUITO	ANIMALS			49316918
157	GO	IR	MOTION	695	GO	
158	GO UP	SUBIR	MOTION	705	GO UP (ASCEND)	
159	GOOD / WELL	BOM / BEM	EMOTIONS_AND_VALUES	1035	GOOD	
160	GRANDFATHER	AVÔ	KINSHIP	1383	GRANDFATHER	
161	GRASS	GRAMA	AGRICULTURE_AND_VEGETATION	606	GRASS	
162	GREEN	VERDE	SENSE_PERCEPTION	1425	GREEN	
163	GROW	CRESCER	SPATIAL_RELATIONS	479	GROW	
164	GREEN IGUANA	CAMALEÃO	ANIMALS	1578	IGUANA	793235
165	GUAN / JACU	JACÚ	ANIMALS	437	GUAN	45508953
166	HAIR	CABELO	BODY	2648	HAIR (HEAD)	
167	HAMMOCK	REDE	HOUSE	2019	HAMMOCK	
168	HAND	MÃO	BODY	1277	HAND	
169	HAPPY	FELIZ / CONTENTE	EMOTIONS_AND_VALUES	1495	HAPPY	
170	HAWK	GAVIÃO	ANIMALS	307	HAWK	
171	HEAD	CABEÇA	BODY	1256	HEAD	
172	HEAL	CURAR / SARAR	BODY	499	CURE	
173	HEAR	ESCUTAR / OUVIR	SENSE_PERCEPTION	1408	HEAR	
174	HEART	CORAÇÃO	BODY	1223	HEART	
175	HEAVY	PESADO	SENSE_PERCEPTION	1210	HEAVY	
176	HEDGEHOG	OURIÇO / PORCO-ESPINHO	ANIMALS	1797	HEDGEHOG	327162
177	HELP	AJUDAR	SOCIAL_AND_POLITICAL_RELATIONS	1897	HELP	
178	HEN / CHICKEN	GALINHA	ANIMALS	1318	CHICKEN	49953003
179	HERE	AQUI	MISCELLANEOUS_FUNCTION_WORDS	136	HERE	
180	HIDE	ESCONDER	SPATIAL_RELATIONS	2486	HIDE	
181	HIT	BATER	BASIC_ACTIONS_AND_TECHNOLOGY	1433	HIT	
182	HOLE	BURACO	SPATIAL_RELATIONS	1667	HOLE	
183	HONEY	MEL	FOOD_AND_DRINK	942	HONEY	
184	HORN	CHIFRE	BODY	1393	HORN (ANATOMY)	
185	HOT	QUENTE	SENSE_PERCEPTION	1286	HOT	
186	HOUSE	CASA	HOUSE	1252	HOUSE	
187	HOWLER MONKEY	(MACACO)BUGIO / GUARIBA	ANIMALS	433	HOWLER MONKEY	41553
188	HUMMINGBIRD	BEIJA-FLOR / COLIBRI	ANIMALS	1589	HUMMINGBIRD	8021
189	HUNT	CAÇAR	WARFARE_AND_HUNTING	1435	HUNT	
190	HUSBAND	MARIDO	KINSHIP	1200	HUSBAND	
191	I	EU	MISCELLANEOUS_FUNCTION_WORDS	1209	I	
192	INGA	INGÁ	FOOD_AND_DRINK			47114559
193	INSIDE	DENTRO (DE)	FUNCTION_WORD	1606	INSIDE	
194	JACARÉ / CAIMAN / CROCODILE	JACARÉ	ANIMALS	1857	CROCODILE	2820255
195	JAGUAR	ONÇA	ANIMALS	1250	JAGUAR	328606
196	JUMP	SALTAR	MOTION	1829	JUMP	
197	KILL	MATAR	BODY	1417	KILL	
198	KING FISHER	GUARDA-RIOS / MARTIM-PESCADOR	ANIMALS			7975
199	KNEE	JOELHO	BODY	1371	KNEE	
200	KNIFE	FACA	BASIC_ACTIONS_AND_TECHNOLOGY	1352	KNIFE	
201	KNOW	SABER	COGNITION	3626	KNOW	
202	LAKE	LAGO / LAGOA	PHYSICAL_WORLD	624	LAKE	
203	LARGE ANT / BULLET ANT	TOCANDIRA / TUCANDEIRA	ANIMALS			403327
204	LARGE MANDI FISH	BAGRE / MANDI / SURUBIM-BAGRE	ANIMALS			46582210
205	LAUGH	RIR	EMOTIONS_AND_VALUES	1355	LAUGH	
206	LEAF	FOLHA	AGRICULTURE_AND_VEGETATION	628	LEAF	
207	LEARN	APRENDER	COGNITION	504	LEARN	
208	LEAVE / GO OUT	SAIR	MOTION	1752	LEAVE	
209	LEG	PERNA	BODY	1297	LEG	
210	LIE (down)	DEITAR (-SE)	SPATIAL_RELATIONS	2071	LAY (VERB)	
211	LIP	LÁBIO	BODY	478	LIP	
212	LIVER	FÍGADO	BODY	1224	LIVER	
213	LIZARD	LAGARTO / CALANGO	ANIMALS	632	LIZARD	
214	LONG	COMPRIDO / LONGO / ALTO	SPATIAL_RELATIONS	1203	LONG	
215	LOOK AT	OLHAR	SENSE_PERCEPTION	1819	LOOK	
216	GETLOST / LOOSEoneS	PERDER-SE	SENSE_PERCEPTION	423	GET LOST	
217	LOUSE	PIOLHO	ANIMALS	1392	LOUSE	1002
218	BLUE YELLOW MACAW	ARARA	ANIMALS	1630	MACAW	45510823
219	MACAW	ARARA	ANIMALS	1630	MACAW	45510823
220	MAGGOT / LARVA	LARVA	ANIMALS	2640	LARVA	
221	MAN	HOMEM	KINSHIP	1554	MAN	
222	MANIOC	MADIOCA / MACAXEIRA / AIPIM	AGRICULTURE_AND_VEGETATION	927	MANIOC	1154718
223	MANY	MUITOS	QUANTITY	1198	MANY	
224	MEDICINE	REMÉDIO	BODY	1372	MEDICINE	
225	MILK	LEITE	FOOD_AND_DRINK	635	MILK	
226	MIRROR	ESPELHO	BASIC_ACTIONS_AND_TECHNOLOGY	1171	MIRROR	
227	MONKEY	MACACO	ANIMALS	1350	MONKEY	
228	MOON	LUA	PHYSICAL_WORLD	1313	MOON	
229	MORNING	MANHÃ	TIME	1339	MORNING	
230	MOUNTAIN	MONTANHA / MONTE / MORRO	PHYSICAL_WORLD	639	MOUNTAIN	
231	MOSQUITO	PERNILONGO / MURIÇOCA / CARAPANÃ	ANIMALS	1509	MOSQUITO	473
232	MOTHER	MOTHER	KINSHIP	1216	MOTHER	
233	MOTHER-IN-LAW (of man)	SOGRA (DE HOMEM)	KINSHIP	2257	MOTHER-IN-LAW (OF MAN)	
234	MOTHER-IN-LAW (of woman)	SOGRA (DE MULHER)	KINSHIP	2256	MOTHER-IN-LAW (OF WOMAN)	
235	MOLD	MOFO	PHYSICAL_WORLD	3251	MOLD (GET ROTTEN)	
236	MOUSTACHE	BIGODE	BODY	1165	MOUSTACHE	
237	MOUTH	BOCA	BODY	674	MOUTH	
238	NAIL / CLAW	UNHA / GARRA	BODY	2128	CLAW OR NAIL	
239	NAME	NOME	SPEECH_AND_LANGUAGE	1405	NAME	
240	NECK	PESCOÇO	BODY	1333	NECK	
241	NEST	NINHO	ANIMALS	539	NEST	
242	NEW	NOVO	TIME	1231	NEW	
243	NIGHT	NOITE	TIME	1233	NIGHT	
244	NOSE	NARIZ	BODY	1221	NOSE	
245	NOW	AGORA	TIME	1376	NOW	
246	OAR	REMO	MOTION	3137	OAR	
247	OLD (adj)	VELHO	TIME	1229	OLD	
248	ONE	UM	QUANTITY	1493	ONE	
249	OPEN	ABRIR	SPATIAL_RELATIONS	1156	OPEN	
250	OPOSSUM / SKUNK	GAMBÁ	ANIMALS	309	OPOSSUM	328504
251	OTHER	OUTRO / ALGUM	MISCELLANEOUS_FUNCTION_WORDS	197	OTHER	
252	OWL	CORUJA	ANIMALS	735	OWL	696
253	PACA	PACA	ANIMALS	316	PACA	326582
254	PACU FISH	PACU	ANIMALS			215393
255	PAIN	DOR / MACHUCADO	EMOTIONS_AND_VALUES	1783	PAIN	
256	PAN	PANELA	FOOD_AND_DRINK	31	PAN	
257	PAPAYA	MAMÃO	AGRICULTURE_AND_VEGETATION	2445	PAPAYA	585682
258	PARROT	PAPAGAIO	ANIMALS	882	PARROT	1591
259	PATH / WAY	CAMINHO	MOTION	2252	PATH	
260	PEACH PALM	PUPUNHA	AGRICULTURE_AND_VEGETATION			1130861
261	PEANUT	AMENDOIM	AGRICULTURE_AND_VEGETATION	2364	PEANUT	641309
262	PECCARY (collared)	PORCO DO MATO / CAITITU / CAITETU	ANIMALS	435	COLLARED PECCARY	1037712
263	PECCARY (white-lipped)	QUEIXADA	ANIMALS	436	WHITE-LIPPED PECCARY	357663
264	PENIS	PÊNIS	BODY	1222	PENIS	
265	PEPPER	PIMENTA	FOOD_AND_DRINK	1385	PEPPER	
266	PERSON / HB / SOMEONE	PESSOA / SERHUMANO / ALGUÉM	KINSHIP	683	PERSON	
267	PESTLE	PILÃO	FOOD_AND_DRINK	225	PESTLE	
268	PESTLE (verb)	PILAR	BASIC_ACTIONS_AND_TECHNOLOGY			
269	PIERCE	FURAR / ESPETAR	BASIC_ACTIONS_AND_TECHNOLOGY	398	PIERCE	
270	PINEAPPLE	ABACAXI	FOOD_AND_DRINK	2440	PINEAPPLE	1126520
271	PIRANHA	PIRANHA	ANIMALS	317	PIRANHA	
272	PLAY	BRINCAR	EMOTIONS_AND_VALUES	1413	PLAY	
273	PLAY (2) (CAUSE TO JUMP)	BRINCAR (2)	EMOTIONS_AND_VALUES			
274	PORRIDGE	MINGAU	FOOD_AND_DRINK			
275	PUMPKIN	ABÓBORA / MORANGA / JERIMUN	FOOD_AND_DRINK	864	PUMPKIN	
276	PUT	PÔR / COLOCAR	SPATIAL_RELATIONS	998	PUT	
277	RAIN	CHUVA	PHYSICAL_WORLD	658	RAIN (PRECIPITATION)	
278	RAT	RATO	ANIMALS	1490	RAT	
279	RAW	CRU	FOOD_AND_DRINK	1959	RAW	
280	RED	VERMELHO	SENSE_PERCEPTION	156	RED	
281	REMEMBER	LEMBRAR (-SE)	COGNITION	707	REMEMBER	
282	RESIN	RESINA	THE_PHYSICAL_WORLD	664	RESIN	
283	RETURN / COME BACK	VIRAR / VOLTAR	MOTION	581	COME BACK	
284	RIPE	MADURO	FOOD_AND_DRINK	178	RIPE	
285	RIVER	RIO	PHYSICAL_WORLD	666	RIVER	
286	ROAST	ASSAR	FOOD_AND_DRINK	1962	ROAST (SOMETHING)	
