Doculect	Subfamily	ISO	ID	Glottolog	Longitude	Latitude	Concept	Form	Cognate_Class	Comment
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	AGOUTI / PACA	akulʒi	1	
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	AGOUTI / PACA	mədí	3	
Kuruaya	Munduruku	kyr	kyr	kuru1309	-52.2303	-3.09561	AGOUTI / PACA	máli	3	
Sateré-Mawé	Mawé	mav	mav	sate1243	-56.8749	-3.63897	AGOUTI / PACA	akuri	1	
Awetí	Awetí	awe	awe	awet1244	-53.391944	-12.381944	AGOUTI / PACA	akuzuʔjɨt	1	
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	AGOUTI / PACA	akoʃi	1	
Suruí (Pará)	Tupí-Guaraní	mdz	mdz	suru1262	-48.59	-5.93	AGOUTI / PACA	akuti	1	
Tembé	Tupí-Guaraní	tqb	tqb	temb1276	-48.2359	-2.6123	AGOUTI / PACA	akuti	1	
Guajajara	Tupí-Guaraní	gub	gub	guaj1255	-45.7081	-4.69461	AGOUTI / PACA	akuʃi	1	
Apiaká	Tupí-Guaraní	api	api	apia1248	-57.91	-7.84711	AGOUTI / PACA	akuʃi	1	
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	AGOUTI / PACA	akutia	1	
Amondawa	Tupí-Guaraní	adw	adw	amun1246	-62.3064	-9.04023	AGOUTI / PACA	akotʃi	1	
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	AGOUTI / PACA	akotihu	1	
Jiahoi	Tupí-Guaraní	???	dia	diah1239	-62.27	-8.04	AGOUTI / PACA	akotihu	1	
Urueuwauwau	Tupí-Guaraní	urz	urz	urue1240	-63.8086	-10.9176	AGOUTI / PACA	akutia	1	
Kayabí	Tupí-Guaraní	kyz	kyz	kaya1329	-55.5479	-11.2747	AGOUTI / PACA	akutia	1	
Araweté	Tupí-Guaraní	awt	awt	araw1273	-52.5001	-4.90246	AGOUTI / PACA	akuti	1	
Guajá	Tupí-Guaraní	gvj	gvj	guaj1256	-46.3683	-3.93574	AGOUTI / PACA	akʷiʃi	1	
