Doculect	Subfamily	ISO	ID	Glottolog	Longitude	Latitude	Concept	Form	Cognate_Class	Comment
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	NEST	waiti	1	
Wayampí	Tupí-Guaraní	oym	oym	waya1270	-52.6887	1.73817	NEST	owaitɨ	1	
Ka'apor (Urubu) 	Tupí-Guaraní	urb	urb	urub1250	-46.2204	-2.46455	NEST	haitɨ	1	
Kamayura	Tupí-Guaraní	kay	kay	kama1373	-53.4651	-12.2661	NEST	aitɨ	1	
Asurini do Xingu	Tupí-Guaraní	asn	asn	xing1248	-52.321	-4.13463	NEST	hitɨ	1	
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	NEST	aɨrɨ	1	
Nheengatu	Tupí-Guaraní	yrl	yrl	nhen1239	-66.9646	1.04503	NEST	uati	1	
Língua Geral Paulista (Tupi austral) †	Tupí-Guaraní	tpʷ	tpʷ	tupi1274	-46.38	-23.95	NEST	roka / retã		
Yuki	Tupí-Guaraní	yuq	yuq	yuqu1240	-64.9438	-16.7875	NEST	kisa	5	
Guarayo	Tupí-Guaraní	gyr	gyr	guar1292	-61.6934	-15.8247	NEST	aitɨ	1	
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	NEST	ekʷisa	5	
Chiriguano	Tupí-Guaraní	gui	gui	east2555	-63.37	-20.42	NEST	aitɨ	1	
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	NEST	haitɨ	1	
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	NEST	taitɨ	1	
Old Guaraní †	Tupí-Guaraní	#??	olg	????	-54.29	-26.25	NEST	aitɨ	1	
Guayaki (Aché)	Tupí-Guaraní	guq	guq	ache1246	-56.4697	-25.5865	NEST	eitɨ	1	
Tapiete	Tupí-Guaraní	tpj	tpj	tapi1253	-62.684	-21.4169	NEST	aitɨ	1	
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	NEST	sajti		
Puruborá	Ramarana-Purubora	pur	pur	puru1264	-62.4358	-11.4226	NEW	hurua		
Makurap	Tuparí	mpu	mpu	maku1278	-64.3201	-11.8701	NEW	ŋgetʃeret		
Wayoró	Tuparí	wyr	wyr	wayo1238	-61.3064	-12.6945	NEW	pagop		
Tuparí	Tuparí	tpr	tpr	tupa1250	-62.2544	-11.8884	NEW	pakop		
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	NEW	pagop		
Mekens (Sakurabiat)	Tuparí	skf	skf	saki1248	-62.0927	-13.054	NEW	pagop		
Gavião (Ikólóéhj)	Mondé	gvo	gvo-gaviao	gavi1246	-61.6752	-10.7235	NEW	koro		
Aruá	Mondé	arx	arx	arua1261	-62.44	-12.12	NEW	iit		
Zoró	Mondé	gvo	gvo-zoro	gavi1246	-61.6752	-10.7235	NEW	koro		
Suruí-Paiter	Mondé	sru	sru	suru1262	-61.2818	-11.0989	NEW	pamne		
Karitiana	Arikem	ktn	ktn	kari1311	-64.1522	-9.37937	NEW	ŋot		
Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133	NEW	párahu		
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	NEW	páràhù		
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	NEW	isə		
Kuruaya	Munduruku	kyr	kyr	kuru1309	-52.2303	-3.09561	NEW	iti		
Sateré-Mawé	Mawé	mav	mav	sate1243	-56.8749	-3.63897	NEW	pakup	1	
Awetí	Awetí	awe	awe	awet1244	-53.391944	-12.381944	NEW	mɨta	1	
Asurini do Tocantins	Tupí-Guaraní	asu	asu	toca1235	-49.8991	-3.59359	NEW	ʔɨaho	1	
Tapirapé (Apyãwa)	Tupí-Guaraní	taf	taf	tapi1254	-50.5438	-10.5373	NEW	ʔɨão	1	
Tembé	Tupí-Guaraní	tqb	tqb	temb1276	-48.2359	-2.6123	NEW	piahu	1	
Guajajara	Tupí-Guaraní	gub	gub	guaj1255	-45.7081	-4.69461	NEW	pɨahu	1	
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	NEW	pɨahua	1	
Amondawa	Tupí-Guaraní	adw	adw	amun1246	-62.3064	-9.04023	NEW	pɨahu	1	
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	NEW	pɨahu	1	
Urueuwauwau	Tupí-Guaraní	urz	urz	urue1240	-63.8086	-10.9176	NEW	pɨahua	1	
Kayabí	Tupí-Guaraní	kyz	kyz	kaya1329	-55.5479	-11.2747	NEW	pɨau	1	
Araweté	Tupí-Guaraní	awt	awt	araw1273	-52.5001	-4.90246	NEW	jahu	1	
Guajá	Tupí-Guaraní	gvj	gvj	guaj1256	-46.3683	-3.93574	NEW	piahu	1	
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	NEW	pɨokatu	1	
Wayampí	Tupí-Guaraní	oym	oym	waya1270	-52.6887	1.73817	NEW	pɨau	1	
Zo'e	Tupí-Guaraní	pto	pto	zoee1240	-55.51	-1.77	NEW	pɨehu	1	
Ka'apor (Urubu) 	Tupí-Guaraní	urb	urb	urub1250	-46.2204	-2.46455	NEW	pɨahu	1	
Anambé	Tupí-Guaraní	aan	aan	anam1249	-49.303	-2.71119	NEW	jahu	1	
Kamayura	Tupí-Guaraní	kay	kay	kama1373	-53.4651	-12.2661	NEW	pɨau	1	
Asurini do Xingu	Tupí-Guaraní	asn	asn	xing1248	-52.321	-4.13463	NEW	ɨaho	1	
Avá-Canoeiro	Tupí-Guaraní	avv	avv	avac1239	-48.1336	-13.6081	NEW	pɨaw	1	
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	NEW	pɨsasu	1	
Nheengatu	Tupí-Guaraní	yrl	yrl	nhen1239	-66.9646	1.04503	NEW	pisaju	1	
Yuki	Tupí-Guaraní	yuq	yuq	yuqu1240	-64.9438	-16.7875	NEW	wisau	1	
Guarayo	Tupí-Guaraní	gyr	gyr	guar1292	-61.6934	-15.8247	NEW	pɨasu	1	
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	NEW	iasu	1	
Warazu (Pauserna)	Tupí-Guaraní	psm	psm	paus1244	-63.1903	-12.8553	NEW	piahu	1	
Chiriguano	Tupí-Guaraní	gui	gui	east2555	-63.37	-20.42	NEW	pɨau	1	
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	NEW	ipɨaʔu	1	
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	NEW	pɨahu	1	
Old Guaraní †	Tupí-Guaraní	#??	olg	????	-54.29	-26.25	NEW	pɨahu	1	
Guayaki (Aché)	Tupí-Guaraní	guq	guq	ache1246	-56.4697	-25.5865	NEW	kreware		
Tapiete	Tupí-Guaraní	tpj	tpj	tapi1253	-62.684	-21.4169	NEW	pɨʔahu	1	
Apapokuva of Nimuendajú †	Tupí-Guaraní	?#?	apa	????	-54.4528	-23.7325	NEW	pɨaú	1	
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	NEW	ɨpɨsasu	1	
Cocama-Cocamilla	nonTupían	cod	cod	coca1259	-74	-4.5	NEW	ɨpɨtsatsun	1	
Puruborá	Ramarana-Purubora	pur	pur	puru1264	-62.4358	-11.4226	NIGHT	ʃeu		
Makurap	Tuparí	mpu	mpu	maku1278	-64.3201	-11.8701	NIGHT	ŋitak		
Wayoró	Tuparí	wyr	wyr	wayo1238	-61.3064	-12.6945	NIGHT	jindak		
Tuparí	Tuparí	tpr	tpr	tupa1250	-62.2544	-11.8884	NIGHT	simʔẽ		
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	NIGHT	kojõpi		
Mekens (Sakurabiat)	Tuparí	skf	skf	saki1248	-62.0927	-13.054	NIGHT	matsupi / pɨtun		
Cinta-Larga	Mondé	cin	cin	cint1239	-60.8312	-10.5879	NIGHT	miʃãŋ	1	
Gavião (Ikólóéhj)	Mondé	gvo	gvo-gaviao	gavi1246	-61.6752	-10.7235	NIGHT	bitʃaŋ(i)	1	
Mondé	Mondé	mnd	mnd	sala1273	-61.25	-12.0499	NIGHT	bitʃam(i)	1	
Aruá	Mondé	arx	arx	arua1261	-62.44	-12.12	NIGHT	bitsãk	1	
Matanau †	Mondé	?##	mat	????	-60.682	-5.336	NIGHT	bangá bam bãiné		
Kabanae †	Mondé	?#?	kbn	????	-60.462	-5.199	NIGHT	bangabam baĩnãn		
Zoró	Mondé	gvo	gvo-zoro	gavi1246	-61.6752	-10.7235	NIGHT	bitʃəŋ	1	
Suruí-Paiter	Mondé	sru	sru	suru1262	-61.2818	-11.0989	NIGHT	miʃãŋ	1	
Karitiana	Arikem	ktn	ktn	kari1311	-64.1522	-9.37937	NIGHT	nip		
Arikem	Arikem	ait	ait	arik1264	-63.74	-8.92	NIGHT	ŋitak		
Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133	NIGHT	kamãdɨhu		
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	NIGHT	kamadéhú		
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	NIGHT	kat		
Kuruaya	Munduruku	kyr	kyr	kuru1309	-52.2303	-3.09561	NIGHT	kijã-be		
Sateré-Mawé	Mawé	mav	mav	sate1243	-56.8749	-3.63897	NIGHT	wãtɨm	1	
Awetí	Awetí	awe	awe	awet1244	-53.391944	-12.381944	NIGHT	ipɨtako	1	
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	NIGHT	ɨpɨton	1	
Asurini do Tocantins	Tupí-Guaraní	asu	asu	toca1235	-49.8991	-3.59359	NIGHT	ipɨton	1	
Suruí (Pará)	Tupí-Guaraní	mdz	mdz	suru1262	-48.59	-5.93	NIGHT	ipɨtun	1	
Tapirapé (Apyãwa)	Tupí-Guaraní	taf	taf	tapi1254	-50.5438	-10.5373	NIGHT	ɨpɨton	1	
Tembé	Tupí-Guaraní	tqb	tqb	temb1276	-48.2359	-2.6123	NIGHT	pɨtun	1	
Guajajara	Tupí-Guaraní	gub	gub	guaj1255	-45.7081	-4.69461	NIGHT	pɨhaw	1	
Apiaká	Tupí-Guaraní	api	api	apia1248	-57.91	-7.84711	NIGHT	pɨtun	1	
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	NIGHT	ɨpɨtun	1	
Amondawa	Tupí-Guaraní	adw	adw	amun1246	-62.3064	-9.04023	NIGHT	iputũn	1	
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	NIGHT	iputũn	1	
Jiahoi	Tupí-Guaraní	???	dia	diah1239	-62.27	-8.04	NIGHT	iputũn	1	
Urueuwauwau	Tupí-Guaraní	urz	urz	urue1240	-63.8086	-10.9176	NIGHT	ɨpɨtũnã	1	
Kayabí	Tupí-Guaraní	kyz	kyz	kaya1329	-55.5479	-11.2747	NIGHT	ɨpɨ̃i	1	
Araweté	Tupí-Guaraní	awt	awt	araw1273	-52.5001	-4.90246	NIGHT	pitəm	1	
Guajá	Tupí-Guaraní	gvj	gvj	guaj1256	-46.3683	-3.93574	NIGHT	pɨha	1	
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	NIGHT	pɨa	1	
Wayampí	Tupí-Guaraní	oym	oym	waya1270	-52.6887	1.73817	NIGHT	pɨtũ	1	
Ka'apor (Urubu) 	Tupí-Guaraní	urb	urb	urub1250	-46.2204	-2.46455	NIGHT	pɨtun	1	
Anambé	Tupí-Guaraní	aan	aan	anam1249	-49.303	-2.71119	NIGHT	pɨtũ	1	
Kamayura	Tupí-Guaraní	kay	kay	kama1373	-53.4651	-12.2661	NIGHT	ɨpɨtun	1	
Asurini do Xingu	Tupí-Guaraní	asn	asn	xing1248	-52.321	-4.13463	NIGHT	ipɨtun	1	
Avá-Canoeiro	Tupí-Guaraní	avv	avv	avac1239	-48.1336	-13.6081	NIGHT	pɨtun	1	
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	NIGHT	pɨtun	1	
Nheengatu	Tupí-Guaraní	yrl	yrl	nhen1239	-66.9646	1.04503	NIGHT	pituna	1	
Yuki	Tupí-Guaraní	yuq	yuq	yuqu1240	-64.9438	-16.7875	NIGHT	hitõ	1	
Guarayo	Tupí-Guaraní	gyr	gyr	guar1292	-61.6934	-15.8247	NIGHT	pɨ̃tũ	1	
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	NIGHT	itõ	1	
Warazu (Pauserna)	Tupí-Guaraní	psm	psm	paus1244	-63.1903	-12.8553	NIGHT	piha	1	
Chiriguano	Tupí-Guaraní	gui	gui	east2555	-63.37	-20.42	NIGHT	pɨ̃tu	1	
Jorá	Tupí-Guaraní	jor	jor	jora1240	-63.21	-15.75	NIGHT	inoit*		
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	NIGHT	pɨtu	1	
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	NIGHT	pɨhare	1	
Old Guaraní †	Tupí-Guaraní	#??	olg	????	-54.29	-26.25	NIGHT	pɨtũ	1	
Guayaki (Aché)	Tupí-Guaraní	guq	guq	ache1246	-56.4697	-25.5865	NIGHT	pitõ	1	
Xetá	Tupí-Guaraní	xet	xet	xeta1241	-52.2266	-24.9408	NIGHT	poá	2	
Kaiowá	Tupí-Guaraní	kgk	kgk	kaiw1246	-54.6815	-24.589	NIGHT	pɨhare	1	
Tapiete	Tupí-Guaraní	tpj	tpj	tapi1253	-62.684	-21.4169	NIGHT	pɨ̃tu	1	
Apapokuva of Nimuendajú †	Tupí-Guaraní	?#?	apa	????	-54.4528	-23.7325	NIGHT	pɨtu	1	
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	NIGHT	ɨpɨsa	1	
Cocama-Cocamilla	nonTupían	cod	cod	coca1259	-74	-4.5	NIGHT	ɨpɨtsa	1	
Puruborá	Ramarana-Purubora	pur	pur	puru1264	-62.4358	-11.4226	NOSE	ɲuʔa		
Ntogapíd (Itogapúk) †	Ramarana-Purubora	##?	nto	????	-61.66003	-10.452133	NOSE	naitʃaʔ tu		
Makurap	Tuparí	mpu	mpu	maku1278	-64.3201	-11.8701	NOSE	ɲǝ̃piʔ		
Wayoró	Tuparí	wyr	wyr	wayo1238	-61.3064	-12.6945	NOSE	ãpia		
Tuparí	Tuparí	tpr	tpr	tupa1250	-62.2544	-11.8884	NOSE	amsi		
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	NOSE	ãpita		
Mekens (Sakurabiat)	Tuparí	skf	skf	saki1248	-62.0927	-13.054	NOSE	api(ts)a / wambiʔa		
Cinta-Larga	Mondé	cin	cin	cint1239	-60.8312	-10.5879	NOSE	amii		
Gavião (Ikólóéhj)	Mondé	gvo	gvo-gaviao	gavi1246	-61.6752	-10.7235	NOSE	amii		
Aruá	Mondé	arx	arx	arua1261	-62.44	-12.12	NOSE	amɨ̃ɨ̃		
Matanau †	Mondé	?##	mat	????	-60.682	-5.336	NOSE	miãn		unmiãn
Zoró	Mondé	gvo	gvo-zoro	gavi1246	-61.6752	-10.7235	NOSE	amii		
Suruí-Paiter	Mondé	sru	sru	suru1262	-61.2818	-11.0989	NOSE	amĩã		
Karitiana	Arikem	ktn	ktn	kari1311	-64.1522	-9.37937	NOSE	ɲõpi'op		
Arikem	Arikem	ait	ait	arik1264	-63.74	-8.92	NOSE	ɲapi		
Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133	NOSE	jamɨ̃kua		
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	NOSE	-iʔã		
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	NOSE	tabə̃		
Kuruaya	Munduruku	kyr	kyr	kuru1309	-52.2303	-3.09561	NOSE	tõmiʔ / tãjmiʔ		
Sateré-Mawé	Mawé	mav	mav	sate1243	-56.8749	-3.63897	NOSE	ampɨ	2	
Awetí	Awetí	awe	awe	awet1244	-53.391944	-12.381944	NOSE	tĩ	1	
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	NOSE	tʃi	1	
Asurini do Tocantins	Tupí-Guaraní	asu	asu	toca1235	-49.8991	-3.59359	NOSE	si	1	
Suruí (Pará)	Tupí-Guaraní	mdz	mdz	suru1262	-48.59	-5.93	NOSE	tʃi	1	
Tapirapé (Apyãwa)	Tupí-Guaraní	taf	taf	tapi1254	-50.5438	-10.5373	NOSE	tʃĩ	1	
Tembé	Tupí-Guaraní	tqb	tqb	temb1276	-48.2359	-2.6123	NOSE	ti	1	
Guajajara	Tupí-Guaraní	gub	gub	guaj1255	-45.7081	-4.69461	NOSE	tʃi	1	
Apiaká	Tupí-Guaraní	api	api	apia1248	-57.91	-7.84711	NOSE	pɨj		
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	NOSE	apɨ̃ɲã	2	
Amondawa	Tupí-Guaraní	adw	adw	amun1246	-62.3064	-9.04023	NOSE	apɨ̃ɲã	2	
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	NOSE	apɨ̃ɲã	2	
Juma	Tupí-Guaraní	jua	jua	juma1249	-64.1	-7.28	NOSE	tĩ	1	
Urueuwauwau	Tupí-Guaraní	urz	urz	urue1240	-63.8086	-10.9176	NOSE	apɨ̃ɲã	2	
Tupi do Machado (Wirafed) †	Tupí-Guaraní	###	wir	????	-61.358125	-12.523397	NOSE	sin		
Kayabí	Tupí-Guaraní	kyz	kyz	kaya1329	-55.5479	-11.2747	NOSE	sĩ	1	
Araweté	Tupí-Guaraní	awt	awt	araw1273	-52.5001	-4.90246	NOSE	tsĩ	1	
Anambé of Ehrenreich †	Tupí-Guaraní	??#	ane	anam1251	-50.5	-4.5	NOSE	he tsĩ		
Guajá	Tupí-Guaraní	gvj	gvj	guaj1256	-46.3683	-3.93574	NOSE	jipiawɨ̃	2	
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	NOSE	tsĩ	1	
Wayampí	Tupí-Guaraní	oym	oym	waya1270	-52.6887	1.73817	NOSE	sĩ	1	
Zo'e	Tupí-Guaraní	pto	pto	zoee1240	-55.51	-1.77	NOSE	si	1	
Ka'apor (Urubu) 	Tupí-Guaraní	urb	urb	urub1250	-46.2204	-2.46455	NOSE	ãpũi	2	
Anambé	Tupí-Guaraní	aan	aan	anam1249	-49.303	-2.71119	NOSE	tĩ	1	
Kamayura	Tupí-Guaraní	kay	kay	kama1373	-53.4651	-12.2661	NOSE	tsĩ	1	
Asurini do Xingu	Tupí-Guaraní	asn	asn	xing1248	-52.321	-4.13463	NOSE	tʃi	1	
Avá-Canoeiro	Tupí-Guaraní	avv	avv	avac1239	-48.1336	-13.6081	NOSE	apɨ̃i	2	
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	NOSE	tĩ	1	
Nheengatu	Tupí-Guaraní	yrl	yrl	nhen1239	-66.9646	1.04503	NOSE	tĩ	1	
Língua Geral Paulista (Tupi austral) †	Tupí-Guaraní	tpʷ	tpʷ	tupi1274	-46.38	-23.95	NOSE	tim / itʃi		
Yuki	Tupí-Guaraní	yuq	yuq	yuqu1240	-64.9438	-16.7875	NOSE	ãgʷa	3	
Guarayo	Tupí-Guaraní	gyr	gyr	guar1292	-61.6934	-15.8247	NOSE	ã	1	
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	NOSE	ã	1	
Warazu (Pauserna)	Tupí-Guaraní	psm	psm	paus1244	-63.1903	-12.8553	NOSE	awa	3	
Chiriguano	Tupí-Guaraní	gui	gui	east2555	-63.37	-20.42	NOSE	tĩ	1	
Jorá	Tupí-Guaraní	jor	jor	jora1240	-63.21	-15.75	NOSE	d-ús		
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	NOSE	tʃĩ	1	
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	NOSE	tĩ	1	
Old Guaraní †	Tupí-Guaraní	#??	olg	????	-54.29	-26.25	NOSE	tĩ	1	
Guayaki (Aché)	Tupí-Guaraní	guq	guq	ache1246	-56.4697	-25.5865	NOSE	pɨta		
Kaiowá	Tupí-Guaraní	kgk	kgk	kaiw1246	-54.6815	-24.589	NOSE	tĩ	1	
Tapiete	Tupí-Guaraní	tpj	tpj	tapi1253	-62.684	-21.4169	NOSE	tenti	1	
Chiripá (Ñandeva / Avá-Guarani)	Tupí-Guaraní	nhd	nhd	chir1286	-55.05	-25.65	NOSE	apɨ(ŋgʷa)		
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	NOSE	ti	1	
Cocama-Cocamilla	nonTupían	cod	cod	coca1259	-74	-4.5	NOSE	ti	1	
Wayoró	Tuparí	wyr	wyr	wayo1238	-61.3064	-12.6945	NOW	poret		
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	NOW	kɨrẽ		
Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133	NOW	máʃi		also means 'today'
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	NOW	maʃí		also means 'today'
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	NOW	ŋãsũ		
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	NOW	ame / kaare		
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	NOW	kiro		
Amondawa	Tupí-Guaraní	adw	adw	amun1246	-62.3064	-9.04023	NOW	kiro		
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	NOW	kiro		
Urueuwauwau	Tupí-Guaraní	urz	urz	urue1240	-63.8086	-10.9176	NOW	kiro		
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	NOW	aipowe / koe		
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	NOW	koʔɨr		
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	NOW	aɨ̃		
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	NOW	ása		
Tapiete	Tupí-Guaraní	tpj	tpj	tapi1253	-62.684	-21.4169	NOW	ã / ãrãʔãnã		
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	NOW	ɨkumɨ		
Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133	OAR	kutapa		
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	OAR	kutaha		
Kuruaya	Munduruku	kyr	kyr	kuru1309	-52.2303	-3.09561	OAR	poraða		
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	OAR	ɨʔarapɨwoawa		
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	OAR	ajɨkʷaja		
Amondawa	Tupí-Guaraní	adw	adw	amun1246	-62.3064	-9.04023	OAR	ipɨwutawa		
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	OAR	ajɨkʷaja		
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	OAR	pukutʃa		
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	OAR	ɨgapukujtaβa		
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	OAR	jaoukuyta		
Makurap	Tuparí	mpu	mpu	maku1278	-64.3201	-11.8701	OLD (adj)	puleʔ		
Wayoró	Tuparí	wyr	wyr	wayo1238	-61.3064	-12.6945	OLD (adj)	poot		
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	OLD (adj)	bɨt		
Cinta-Larga	Mondé	cin	cin	cint1239	-60.8312	-10.5879	OLD (adj)	kaj		
Gavião (Ikólóéhj)	Mondé	gvo	gvo-gaviao	gavi1246	-61.6752	-10.7235	OLD (adj)	kâàj		
Suruí-Paiter	Mondé	sru	sru	suru1262	-61.2818	-11.0989	OLD (adj)	ikãj		
Karitiana	Arikem	ktn	ktn	kari1311	-64.1522	-9.37937	OLD (adj)	hyk		
Arikem	Arikem	ait	ait	arik1264	-63.74	-8.92	OLD (adj)	puleʔ		
Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133	OLD (adj)	dúrea		
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	OLD (adj)	adúriu		
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	OLD (adj)	kok		
Kuruaya	Munduruku	kyr	kyr	kuru1309	-52.2303	-3.09561	OLD (adj)	odure		
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	OLD (adj)	hɨmɨnete		
Asurini do Tocantins	Tupí-Guaraní	asu	asu	toca1235	-49.8991	-3.59359	OLD (adj)	ɨmɨna		
Tembé	Tupí-Guaraní	tqb	tqb	temb1276	-48.2359	-2.6123	OLD (adj)	azãju		
Guajajara	Tupí-Guaraní	gub	gub	guaj1255	-45.7081	-4.69461	OLD (adj)	izemaner / kʷehearer		
Apiaká	Tupí-Guaraní	api	api	apia1248	-57.91	-7.84711	OLD (adj)	sabaʔe		
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	OLD (adj)	ranuhũ / ɨmɨan		
Amondawa	Tupí-Guaraní	adw	adw	amun1246	-62.3064	-9.04023	OLD (adj)	ranuhũ / ɨmɨan		
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	OLD (adj)	ranuhũ / ɨmɨan		
Urueuwauwau	Tupí-Guaraní	urz	urz	urue1240	-63.8086	-10.9176	OLD (adj)	ranuhũ / ʃaveʔe / ɨmɨan		
Araweté	Tupí-Guaraní	awt	awt	araw1273	-52.5001	-4.90246	OLD (adj)	imi		
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	OLD (adj)	awarer		
Wayampí	Tupí-Guaraní	oym	oym	waya1270	-52.6887	1.73817	OLD (adj)	kalakuwa		
Zo'e	Tupí-Guaraní	pto	pto	zoee1240	-55.51	-1.77	OLD (adj)	teiwĩ*		
Asurini do Xingu	Tupí-Guaraní	asn	asn	xing1248	-52.321	-4.13463	OLD (adj)	mɨne / muruviavav		
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	OLD (adj)	umwam / twiβaʔe		
Yuki	Tupí-Guaraní	yuq	yuq	yuqu1240	-64.9438	-16.7875	OLD (adj)	ima		
Guarayo	Tupí-Guaraní	gyr	gyr	guar1292	-61.6934	-15.8247	OLD (adj)	ɨma		
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	OLD (adj)	e-ima		
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	OLD (adj)	ɨma		
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	OLD (adj)	tudʒa		
Guayaki (Aché)	Tupí-Guaraní	guq	guq	ache1246	-56.4697	-25.5865	OLD (adj)	tʃweʔe		
Tapiete	Tupí-Guaraní	tpj	tpj	tapi1253	-62.684	-21.4169	OLD (adj)	ndeʃi		
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	OLD (adj)	ijuka		
Puruborá	Ramarana-Purubora	pur	pur	puru1264	-62.4358	-11.4226	ONE	mõm		
Ntogapíd (Itogapúk) †	Ramarana-Purubora	##?	nto	????	-61.66003	-10.452133	ONE	nutírem		
